,bigg.reaction,EC_number
2187,ppm,5.4.2.7
2188,ppm2,5.4.2.7
2189,ppncl2,6.3.2.5
2190,ppnd,1.3.1.12
2191,ppndh,4.2.1.51
2192,pppgo,1.3.3.4
2193,pppgo3,1.3.3.4
2197,pps,2.7.9.2
2200,pragsr,6.3.4.13
2201,praii,6.3.3.1
2202,prais,5.3.1.24
2203,prampc,3.5.4.19
2204,prascsi,6.3.2.6
2205,pratpp,3.6.1.31
2206,prfgs,6.3.5.3
2207,prmici,5.3.1.16
2208,proabcpp,1.5.99.8
2211,proglytex,6.1.1.15
2216,prpps,2.7.6.1
2219,pscvt,2.5.1.19
2220,psd120,4.1.1.65
2221,psd140,4.1.1.65
2222,psd141,4.1.1.65
2223,psd160,4.1.1.65
2224,psd161,4.1.1.65
2225,psd180,4.1.1.65
2226,psd181,4.1.1.65
2227,psert,2.6.1.52
2229,psp_l,3.1.3.3
2231,pssa120,2.7.8.8
2232,pssa140,2.7.8.8
2233,pssa141,2.7.8.8
2234,pssa160,2.7.8.8
2235,pssa161,2.7.8.8
2236,pssa180,2.7.8.8
2237,pssa181,2.7.8.8
2239,ptar,2.3.1.8
2241,ptpati,2.7.7.3
2243,ptrcornt7pp,2.6.1.29
2247,punp1,2.4.2.1
2248,punp2,2.4.2.1
2249,punp3,2.4.2.1
2250,punp4,2.4.2.1
2251,punp5,2.4.2.1
2252,punp6,2.4.2.1
2253,punp7,2.4.2.1
2254,pyam5po,1.4.3.5
2255,pydamk,2.7.1.35
2258,pydxk,2.7.1.35
2259,pydxnk,2.7.1.35
2265,pyk,2.7.1.40
2266,pynp2r,2.4.2.2
2281,rbfk,2.7.1.26
2282,rbfsa,2.5.1.9
2283,rbfsb,2.5.1.9
2284,rbk,2.7.1.15
2285,rbk_l1,2.7.1.16
2286,rbp4e,5.1.3.4
2294,rmi,5.3.1.14
2295,rmk,2.7.1.5
2298,rmpa,4.1.2.19
2299,rndr1,1.17.4.1
2301,rndr2,1.17.4.1
2303,rndr3,1.17.4.1
2305,rndr4,1.17.4.1
2311,rpe,5.1.3.1
2312,rpi,5.3.1.6
2321,sadh,2.6.1.69
2323,sarcox,1.5.3.1
2324,sbtpd,1.1.1.140
2328,sdpds,3.5.1.18
2329,sdpta,2.6.1.17
2330,selcyss,2.9.1.1
2334,selnps,2.7.9.3
2340,serat,2.3.1.30
2342,serd_l,4.3.1.17
2343,sert2rpp,6.1.1.11
2344,sert4pp,6.1.1.11
2348,sfgthi,3.1.2.12
2354,shk3dr,1.1.1.25
2355,shkk,2.7.1.71
2356,shsl1,4.2.99.9
2367,spmdabcpp,2.3.1.57
2368,spmdat1,2.3.1.57
2372,spms,2.5.1.16
2373,spodm,1.15.1.1
2374,spodmpp,1.15.1.1
2375,ssalx,1.2.1.24
2376,ssaly,1.2.1.16
2378,sucbzl,6.2.1.26
2384,sucdi,1.3.99.1
2387,sucoas,6.2.1.5
2393,sulfactex,1.8.2.2
2396,tagurr,1.1.1.58
2397,tala,2.2.1.2
2398,tartd,4.2.1.32
2403,taudo,1.14.11.17
2407,tdp,3.6.1.15
2409,tdpagta,2.6.1.33
2410,tdpdre,5.1.3.13
2411,tdpdrr,1.1.1.133
2412,tdpgdh,4.2.1.46
2413,tdsk,2.7.1.130
2416,tgbpa,4.1.2.40
2417,thd2pp,1.6.1.1
2418,thdpat,2.3.1.117
2419,thdps,2.1.2.10
2426,thmtex,4.1.2.5
2427,thra2i,4.1.2.5
2428,thrabcpp,1.1.1.103
2429,thrai,4.3.1.19
2431,thrd_l,4.2.3.1
2432,thrptex,6.1.1.3
2441,thzpsn3,2.2.1.1
2442,tkt1,2.2.1.1
2449,tmatex,2.7.1.21
2450,tmdk1,2.4.2.4
2451,tmdpp,2.1.1.45
2452,tmds,2.7.1.89
2453,tmk,2.7.4.16
2454,tmpk,2.5.1.3
2455,tmppp,5.3.1.1
2457,tprdcoas,1.8.1.9
2458,trdr,3.2.1.93
2459,tre6ph,3.1.3.12
2460,tre6pp,2.4.1.15
2461,tre6ps,3.2.1.28
2462,treh,3.2.1.28
2465,tretex,4.1.99.1
2466,trpas2,4.2.1.20
2467,trps1,4.2.1.20
2468,trps2,4.2.1.20
2469,trps3,6.1.1.2
2472,trptrs,1.1.1.60
2483,tyrl,1.4.3.6
2486,tyrptex,2.6.1.5
2487,tyrt2rpp,6.1.1.1
2492,uaagds,6.3.2.13
2493,uacgalppp,3.6.1.45
2494,uacgamppp,3.6.1.45
2497,uag2e,5.1.3.14
2498,uagaat,2.3.1.129
2499,uagcvt,2.5.1.7
2500,uagdp,2.7.7.23
2502,uamags,6.3.2.9
2503,uamas,6.3.2.8
2504,uapgr,1.1.1.158
2505,udcpdp,3.6.1.27
2507,udcpdps,3.6.1.27
2510,udpg4e,5.1.3.2
2511,udpgalm,5.4.99.9
2512,udpgalppp,3.6.1.45
2514,udpgd,1.1.1.22
2517,udpgppp,3.6.1.45
2520,uglcurppp,3.6.1.45
2521,uglt,2.7.7.12
2522,uglych,3.5.3.19
2523,ugmdds,6.3.2.15
2530,umpk,2.7.4.14
2534,upp3mt,2.1.1.107
2535,upp3s,4.2.1.75
2536,uppdc1,4.1.1.37
2537,upprt,2.4.2.9
2542,urdglycd,1.1.1.154
2545,uric,1.7.3.3
2546,urih,3.2.2.8
2547,urik2,2.7.1.48
2552,valabcpp,2.6.1.42
2553,valt2rpp,6.1.1.9
2557,vpamtr,2.6.1.66
2560,xand,1.1.1.204
2565,xppt,2.4.2.22
2566,xtsnh,3.2.2.8
2569,xylabcpp,5.3.1.5
2570,xyli1,5.3.1.5
2571,xyli2,2.7.1.17
2572,xylk,2.7.1.53
